Municipio,Codigo
BELLO,1
ITUANGO,2
CAREPA,3
TURBO,4
CHIGORODO,5
ARBOLETES,6
NECOCLI,7
CAROLINA DEL PRINCIPE,8
MEDELLIN,9
ENVIGADO,10
GIRARDOTA,11
SABANETA,12
GOMEZ PLATA,13
REMEDIOS,14
SAN JERONIMO,15
EL RETIRO,16
SANTAFE DE ANTIOQUIA,17
BELMIRA,18
SOPETRAN,19
COPACABANA,20
CALDAS,21
ITAGUI,22
LA ESTRELLA,23
GUARNE,24
BETULIA,25
VENECIA,26
AMAGA,27
CONCORDIA,28
TARSO,29
TAMESIS,30
PUEBLORRICO,31
SANTA BARBARA,32
SAN PEDRO DE LOS MILAGROS,33
SAN ANDRES DE CUERQUIA,34
AMALFI,35
LIBORINA,36
SAN ROQUE,37
DONMATIAS,38
YARUMAL,39
SAN CARLOS,40
SANTA ROSA DE OSOS,41
BARBOSA,42
SAN RAFAEL,43
SONSON,44
URRAO,45
BETANIA,46
CIUDAD BOLIVAR,47
LA CEJA,48
HISPANIA,49
CARAMANTA,50
JARDIN,51
GUATAPE,52
LA UNION,53
ANGELOPOLIS,54
TITIRIBI,55
SAN LUIS,56
SALGAR,57
JERICO,58
ABEJORRAL,59
CONCEPCION,60
MONTEBELLO,61
VALPARAISO,62
FREDONIA,63
EL PEÑOL,64
SAN VICENTE,65
YALI,66
PUERTO BERRIO,67
TOLEDO,68
YOLOMBO,69
MACEO,70
CAÑASGORDAS,71
ENTRERRIOS,72
SAN JOSE DE LA MONTAÑA,73
CARACOLI,74
DABEIBA,75
OLAYA,76
PUERTO NARE,77
COCORNA,78
VEGACHI,79
FRONTINO,80
SANTO DOMINGO,81
CISNEROS,82
VALDIVIA,83
GUADALUPE,84
APARTADO,85
MUTATA,86
SAN JUAN DE URABA,87
SAN PEDRO DE URABA,88
GRANADA,89
SABANALARGA,90
